from,to,symbol,quantity,date
utopis,brofundholdings,HIVE,0.901,2021-02-21
utopis,thegoliath,HIVE,0.023,2021-02-21
utopis,silverstackeruk,HIVE,0.105,2021-02-21
utopis,ericburgoyne,HIVE,0.003,2021-02-21
utopis,gillianpearce,HIVE,0.002,2021-02-21
utopis,blockmonster,HIVE,0.009,2021-02-21
utopis,nickyhavey,HIVE,0.002,2021-02-21
utopis,myvest,HIVE,0.159,2021-02-21
utopis,stayoutoftherz,HIVE,0.011,2021-02-21
utopis,kolbjorn,HIVE,0.136,2021-02-21
utopis,bozz,HIVE,0.011,2021-02-21
utopis,tomhall,HIVE,0.001,2021-02-21
utopis,velourex,HIVE,0.002,2021-02-21
utopis,melinda010100,HIVE,0.003,2021-02-21
utopis,shroomifer,HIVE,0.002,2021-02-21
utopis,simplifylife,HIVE,0.026,2021-02-21
utopis,diana.catherine,HIVE,0.01,2021-02-21
utopis,teenagecrypto,HIVE,0.001,2021-02-21
utopis,lordneroo,HIVE,0.001,2021-02-21
utopis,scooter77,HIVE,0.001,2021-02-21
utopis,pieternijmeijer,HIVE,0.007,2021-02-21
utopis,road2nowhere,HIVE,0.002,2021-02-21
utopis,bitandi,HIVE,0.001,2021-02-21
utopis,juanmiguelsalas,HIVE,0.007,2021-02-21
utopis,ecoinstant,HIVE,0.041,2021-02-21
utopis,cornavirus,HIVE,0.007,2021-02-21
utopis,mfblack,HIVE,0.063,2021-02-21
utopis,roleerob,HIVE,0.082,2021-02-21
utopis,leontr,HIVE,0.001,2021-02-21
utopis,foodiess,HIVE,0.001,2021-02-21
utopis,largeadultson,HIVE,0.002,2021-02-21
utopis,simplegame,HIVE,0.013,2021-02-21
utopis,libertycrypto27,HIVE,0.001,2021-02-21
utopis,hykss,HIVE,0.234,2021-02-21
utopis,taskmaster4450,HIVE,0.059,2021-02-21
utopis,notaboutme,HIVE,0.004,2021-02-21
utopis,dera123,HIVE,0.096,2021-02-21
utopis,no-advice,HIVE,0.041,2021-02-21
utopis,knowhow92,HIVE,0.025,2021-02-21
utopis,jjb777,HIVE,0.14,2021-02-21
utopis,amr008,HIVE,0.001,2021-02-21
utopis,honeysaver,HIVE,0.006,2021-02-21
utopis,eirik,HIVE,0.025,2021-02-21
utopis,khan.dayyanz,HIVE,0.035,2021-02-21
utopis,jongolson,HIVE,0.058,2021-02-21
utopis,chireerocks,HIVE,0.04,2021-02-21
utopis,denver-bob,HIVE,0.125,2021-02-21
utopis,netaterra,HIVE,0.784,2021-02-21
utopis,votebetting,HIVE,0.047,2021-02-21
utopis,shoemanchu,HIVE,0.02,2021-02-21
utopis,abrockman,HIVE,0.069,2021-02-21
utopis,damla,HIVE,0.002,2021-02-21
utopis,spinvest,HIVE,0.935,2021-02-21
utopis,trumpman,HIVE,0.067,2021-02-21
utopis,jemmarti,HIVE,0.005,2021-02-21
utopis,jonsnow1983,HIVE,0.004,2021-02-21
utopis,eddiespino,HIVE,0.023,2021-02-21
utopis,kiokizz,HIVE,0.002,2021-02-21
utopis,vipservice,HIVE,0.224,2021-02-21
utopis,evernoticethat,HIVE,0.002,2021-02-21
utopis,shmoogleosukami,HIVE,0.002,2021-02-21
utopis,investyourvote,HIVE,0.001,2021-02-21
utopis,dkid14,HIVE,0.012,2021-02-21
utopis,berthold,HIVE,0.002,2021-02-21
utopis,investinthefutur,HIVE,0.011,2021-02-21
utopis,miketr,HIVE,0.015,2021-02-21
utopis,pixresteemer,HIVE,0.001,2021-02-21
utopis,skylinebuds,HIVE,0.008,2021-02-21
utopis,discohedge,HIVE,0.215,2021-02-21
utopis,denver-bob,HIVE,49.423,2021-02-22
utopis,brofundholdings,HIVE,356.307,2021-02-22
utopis,discohedge,HIVE,87.206,2021-02-22
utopis,shoemanchu,HIVE,7.76,2021-02-22
utopis,votebetting,HIVE,18.476,2021-02-22
utopis,netaterra,HIVE,309.877,2021-02-22
